Category: All categories

Week,Anomaly: (United States)
2020-01-05,71
2020-01-12,67
2020-01-19,65
2020-01-26,75
2020-02-02,70
2020-02-09,66
2020-02-16,71
2020-02-23,67
2020-03-01,65
2020-03-08,57
2020-03-15,54
2020-03-22,64
2020-03-29,70
2020-04-05,63
2020-04-12,69
2020-04-19,66
2020-04-26,70
2020-05-03,65
2020-05-10,74
2020-05-17,100
2020-05-24,67
2020-05-31,74
2020-06-07,82
2020-06-14,81
2020-06-21,88
2020-06-28,81
2020-07-05,74
2020-07-12,78
2020-07-19,76
2020-07-26,76
2020-08-02,74
2020-08-09,77
2020-08-16,81
2020-08-23,72
2020-08-30,71
2020-09-06,67
2020-09-13,77
2020-09-20,70
2020-09-27,67
2020-10-04,82
2020-10-11,68
2020-10-18,69
2020-10-25,68
2020-11-01,65
2020-11-08,74
2020-11-15,93
2020-11-22,85
2020-11-29,97
2020-12-06,84
2020-12-13,84
2020-12-20,71
2020-12-27,65
